Spotify Artist,Tidal Artist,Spotify Title,Tidal Title,Tidal URL
Porter Robinson,Porter Robinson,Nurture,Nurture,https://tidal.com/browse/album/181171322
Porter Robinson,Porter Robinson,Worlds,Worlds,https://tidal.com/browse/album/32571279
RÜFÜS DU SOL,RÜFÜS DU SOL,Atlas,Atlas,https://tidal.com/browse/album/33672291
RÜFÜS DU SOL,RÜFÜS DU SOL,Surrender,Surrender,https://tidal.com/browse/album/201834635
RÜFÜS DU SOL,RÜFÜS DU SOL,SOLACE,SOLACE,https://tidal.com/browse/album/95792524
RÜFÜS DU SOL,RÜFÜS DU SOL,Bloom,Bloom,https://tidal.com/browse/album/56068940
SIAMES,SIAMES,HOME,HOME,https://tidal.com/browse/album/128810246
Soen,Soen,IMPERIAL,IMPERIAL,https://tidal.com/browse/album/169488629
Steven Wilson,Steven Wilson,THE FUTURE BITES,THE FUTURE BITES (Deluxe Edition),https://tidal.com/browse/album/194818085
The Weeknd,The Weeknd,Beauty Behind The Madness,Beauty Behind The Madness,https://tidal.com/browse/album/77704200
When Chai Met Toast,When Chai Met Toast,When We Feel Young,When We Feel Young,https://tidal.com/browse/album/320739151
When Chai Met Toast,When Chai Met Toast,Believe,Believe,https://tidal.com/browse/album/94594402
When Chai Met Toast,When Chai Met Toast,Joy of Little Things,Joy of Little Things,https://tidal.com/browse/album/320319304
WYS,WYS,North Pole,North Pole,https://tidal.com/browse/album/300780929
XXXTENTACION,XXXTENTACION,17,17,https://tidal.com/browse/album/77850888
Kalandra,Kalandra,Kingdom Two Crowns: Norse Lands Soundtrack (Extended),Kingdom Two Crowns: Norse Lands Soundtrack (Extended),https://tidal.com/browse/album/301959302
NERO,Nero,Into the Unknown,Into the Unknown,https://tidal.com/browse/album/374254942
Tinlicker,Tinlicker,About You,About You,https://tidal.com/browse/album/245227968
Lane 8,Lane 8,Childish,Childish,https://tidal.com/browse/album/388481770
Bo Burnham,Bo Burnham,Inside (The Songs),Inside (The Songs),https://tidal.com/browse/album/189591372?u
Grabbitz,Grabbitz,Time Isn't Real,Time Isn't Real,https://tidal.com/browse/album/224723754?u
Soen,Soen,Lotus (Bonus Edition),Lotus (Bonus Edition),https://tidal.com/browse/album/194441363?u
